Distance : 1121	D : 10.80	SSD: 0.20M	Speed: 0.29m/s	Angle: 84
Distance : 1109	D : 10.87	SSD: 0.13M	Speed: 0.18m/s	Angle: 84
Distance : 1092	D : 9.82	SSD: 0.18M	Speed: 0.26m/s	Angle: 84
Distance : 1078	D : 9.85	SSD: 0.15M	Speed: 0.22m/s	Angle: 84
Distance : 1064	D : 9.85	SSD: 0.15M	Speed: 0.22m/s	Angle: 84
Distance : 1050	D : 9.85	SSD: 0.15M	Speed: 0.22m/s	Angle: 84
Distance : 1032	D : 9.81	SSD: 0.19M	Speed: 0.28m/s	Angle: 84
Distance : 1022	D : 9.89	SSD: 0.11M	Speed: 0.16m/s	Angle: 84
Distance : 1010	D : 9.87	SSD: 0.13M	Speed: 0.18m/s	Angle: 84
Distance : 1000	D : 9.89	SSD: 0.11M	Speed: 0.16m/s	Angle: 84
Distance : 986	D : 8.85	SSD: 0.15M	Speed: 0.22m/s	Angle: 83
Distance : 967	D : 8.79	SSD: 0.21M	Speed: 0.30m/s	Angle: 83
Distance : 960	D : 8.92	SSD: 0.08M	Speed: 0.11m/s	Angle: 83
Distance : 955	D : 8.94	SSD: 0.06M	Speed: 0.08m/s	Angle: 83
Distance : 938	D : 8.81	SSD: 0.19M	Speed: 0.27m/s	Angle: 83
Distance : 927	D : 8.88	SSD: 0.12M	Speed: 0.17m/s	Angle: 83
Distance : 926	D : 9.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 83
Distance : 914	D : 8.87	SSD: 0.13M	Speed: 0.19m/s	Angle: 83
Distance : 902	D : 8.87	SSD: 0.13M	Speed: 0.19m/s	Angle: 83
Distance : 895	D : 7.92	SSD: 0.08M	Speed: 0.11m/s	Angle: 82
Distance : 883	D : 7.87	SSD: 0.13M	Speed: 0.19m/s	Angle: 82
Distance : 881	D : 8.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 82
Distance : 871	D : 7.89	SSD: 0.11M	Speed: 0.16m/s	Angle: 82
Distance : 863	D : 7.91	SSD: 0.09M	Speed: 0.12m/s	Angle: 82
Distance : 860	D : 7.97	SSD: 0.03M	Speed: 0.05m/s	Angle: 82
Distance : 849	D : 7.88	SSD: 0.12M	Speed: 0.17m/s	Angle: 82
Distance : 845	D : 7.96	SSD: 0.04M	Speed: 0.06m/s	Angle: 82
Distance : 841	D : 7.96	SSD: 0.04M	Speed: 0.06m/s	Angle: 82
Distance : 832	D : 7.90	SSD: 0.10M	Speed: 0.14m/s	Angle: 82
Distance : 828	D : 7.96	SSD: 0.04M	Speed: 0.06m/s	Angle: 82
Distance : 820	D : 7.91	SSD: 0.09M	Speed: 0.13m/s	Angle: 82
Distance : 818	D : 7.29	SSD: 0.71M	Speed: 1.00m/s	Angle: 82
Distance : 811	D : 7.92	SSD: 0.08M	Speed: 0.12m/s	Angle: 82
Distance : 809	D : 8.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 82
Distance : 806	D : 7.97	SSD: 0.03M	Speed: 0.05m/s	Angle: 82
Distance : 802	D : 7.96	SSD: 0.04M	Speed: 0.06m/s	Angle: 82
Distance : 799	D : 6.97	SSD: 0.03M	Speed: 0.05m/s	Angle: 81
Distance : 799	D : 7.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 81
Distance : 
