00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1616	D : 15.67	SSD: 0.33M	Speed: 0.47m/s	Angle: 86
Distance : 1593	D : 14.75	SSD: 0.25M	Speed: 0.35m/s	Angle: 86
Distance : 1555	D : 14.60	SSD: 0.40M	Speed: 0.58m/s	Angle: 86
Distance : 1524	D : 14.67	SSD: 0.33M	Speed: 0.48m/s	Angle: 86
Distance : 1490	D : 13.64	SSD: 0.36M	Speed: 0.52m/s	Angle: 85
Distance : 1463	D : 13.71	SSD: 0.29M	Speed: 0.42m/s	Angle: 85
Distance : 1431	D : 13.66	SSD: 0.34M	Speed: 0.48m/s	Angle: 85
Distance : 1392	D : 12.58	SSD: 0.42M	Speed: 0.60m/s	Angle: 85
Distance : 1360	D : 12.66	SSD: 0.34M	Speed: 0.48m/s	Angle: 85
Distance : 1331	D : 12.69	SSD: 0.31M	Speed: 0.45m/s	Angle: 85
Distance : 1302	D : 12.69	SSD: 0.31M	Speed: 0.44m/s	Angle: 85
Distance : 1266	D : 11.61	SSD: 0.39M	Speed: 0.56m/s	Angle: 85
Distance : 1237	D : 11.69	SSD: 0.31M	Speed: 0.44m/s	Angle: 85
Distance : 1210	D : 11.71	SSD: 0.29M	Speed: 0.42m/s	Angle: 85
Distance : 1181	D : 10.69	SSD: 0.31M	Speed: 0.44m/s	Angle: 84
Distance : 1150	D : 10.67	SSD: 0.33M	Speed: 0.47m/s	Angle: 84
Distance : 1124	D : 10.72	SSD: 0.28M	Speed: 0.40m/s	Angle: 84
Distance : 1100	D : 10.75	SSD: 0.25M	Speed: 0.36m/s	Angle: 84
Distance : 1072	D : 9.70	SSD: 0.30M	Speed: 0.43m/s	Angle: 84
Distance : 1052	D : 9.79	SSD: 0.21M	Speed: 0.31m/s	Angle: 84
Distance : 1031	D : 9.77	SSD: 0.23M	Speed: 0.33m/s	Angle: 84
Distance : 1011	D : 9.79	SSD: 0.21M	Speed: 0.31m/s	Angle: 84
